Rank,Player,Pos,Team,Bye,ADP
1,Jahmyr Gibbs,RB,DET,6,1
2,Bijan Robinson,RB,ATL,11,2
3,Ja'Marr Chase,WR,CIN,6,3
4,Puka Nacua,WR,LAR,11,4
5,Christian McCaffrey,RB,SF,8,5
6,Jaxon Smith-Njigba,WR,SEA,11,5.2
7,Jonathan Taylor,RB,IND,13,5.9
8,Amon-Ra St. Brown,WR,DET,6,8
9,James Cook III,RB,BUF,7,9.3
10,Derrick Henry,RB,BAL,13,9.7
11,CeeDee Lamb,WR,DAL,14,10
12,De'Von Achane,RB,MIA,6,11.7
13,Drake London,WR,ATL,11,12
14,Justin Jefferson,WR,MIN,6,12
15,Ashton Jeanty,RB,LV,13,13
16,Chase Brown,RB,CIN,6,15.1
17,Rashee Rice,WR,KC,5,15.2
18,Saquon Barkley,RB,PHI,10,17.6
19,Nico Collins,WR,HOU,8,18.4
20,George Pickens,WR,DAL,14,19.9
21,A.J. Brown,WR,NE,11,20
22,Kenneth Walker III,RB,KC,5,20.5
23,Brock Bowers,TE,LV,13,21
24,Omarion Hampton,RB,LAC,7,24
25,Zay Flowers,WR,BAL,13,25.2
26,Josh Jacobs,RB,GB,11,25.4
27,Malik Nabers,WR,NYG,8,26.2
28,Kyren Williams,RB,LAR,11,27.4
29,Jeremiyah Love,RB,ARI,14,29
30,Chris Olave,WR,NO,8,29
31,Tetairoa McMillan,WR,CAR,5,30.7
32,Garrett Wilson,WR,NYJ,13,31.1
33,DeVonta Smith,WR,PHI,10,31.6
34,Josh Allen,QB,BUF,7,33
35,Javonte Williams,RB,DAL,14,33.2
36,Breece Hall,RB,NYJ,13,33.5
37,Emeka Egbuka,WR,TB,10,33.7
38,Tee Higgins,WR,CIN,6,35.9
39,Travis Etienne Jr.,RB,NO,8,37.3
40,Trey McBride,TE,ARI,14,37.8
41,Davante Adams,WR,LAR,11,37.9
42,Cam Skattebo,RB,NYG,8,38.4
43,Jameson Williams,WR,DET,6,38.7
44,Ladd McConkey,WR,LAC,7,41
45,D'Andre Swift,RB,CHI,10,43.2
46,DJ Moore,WR,BUF,7,44.9
47,Terry McLaurin,WR,WAS,7,45.1
48,Lamar Jackson,QB,BAL,14,46
49,Bucky Irving,RB,TB,10,47
50,Luther Burden III,WR,CHI,5,54
51,Christian Watson,WR,GB,11,54.8
52,Jaylen Waddle,WR,DEN,12,55.1
53,Tyler Warren,TE,IND,13,55.5
54,Mike Evans,WR,SF,8,56
55,Colston Loveland,TE,CHI,5,56.4
56,Drake Maye,QB,NE,11,57.1
57,Jayden Daniels,QB,WAS,7,57.8
58,Rome Odunze,WR,CHI,5,58.2
59,Tucker Kraft,TE,GB,11,58.9
60,Joe Burrow,QB,CIN,6,59.3
61,Isiah Pacheco,RB,KC,5,60.1
62,David Montgomery,RB,DET,6,60.5
63,Brian Robinson Jr.,RB,WAS,7,61
64,Rhamondre Stevenson,RB,NE,11,61.4
65,Jonathon Brooks,RB,CAR,5,62
66,Jordan Addison,WR,MIN,6,62.5
67,Jakobi Meyers,WR,LV,13,63.1
68,George Kittle,TE,SF,8,63.8
69,Sam LaPorta,TE,DET,6,64.2
70,Patrick Mahomes,QB,KC,5,64.9
71,Jalen Hurts,QB,PHI,10,65.3
72,Chuba Hubbard,RB,CAR,5,66
73,Xavier Worthy,WR,KC,5,66.5
74,Keon Coleman,WR,BUF,7,67.1
75,Trevor Lawrence,QB,JAX,12,68
76,Tank Bigsby,RB,JAX,12,68.4
77,Zach Charbonnet,RB,SEA,11,69
78,Jaylen Warren,RB,PIT,9,69.5
79,DK Metcalf,WR,SEA,11,70.1
80,Michael Pittman Jr.,WR,IND,13,70.8
81,Brandon Aiyuk,WR,SF,8,71.2
82,Tyreek Hill,WR,MIA,6,72
83,Cooper Kupp,WR,LAR,11,72.5
84,Deebo Samuel Sr.,WR,SF,8,73.1
85,Stefon Diggs,WR,HOU,8,73.8
86,Calvin Ridley,WR,TEN,10,74.2
87,Jauan Jennings,WR,SF,8,75
88,Khalil Shakir,WR,BUF,7,75.5
89,Rashod Bateman,WR,BAL,13,76.1
90,Jerry Jeudy,WR,CLE,10,76.8
91,Wan'Dale Robinson,WR,NYG,8,77.2
92,Demarcus Robinson,WR,LAR,11,78
93,Christian Kirk,WR,JAX,12,78.5
94,Courtland Sutton,WR,DEN,12,79.1
95,Marvin Harrison Jr.,WR,ARI,14,79.8
96,Brian Thomas Jr.,WR,JAX,12,80.2
97,Ricky Pearsall,WR,SF,8,81
98,Adonai Mitchell,WR,IND,13,81.5
99,Xavier Legette,WR,CAR,5,82.1
100,Ja'Lynn Polk,WR,NE,11,82.8
101,Jalen McMillan,WR,TB,10,83.2
102,Jermaine Burton,WR,CIN,6,84
103,Roman Wilson,WR,PIT,9,84.5
104,Malachi Corley,WR,NYJ,13,85.1
105,Javon Baker,WR,NE,11,85.8
106,Devontez Walker,WR,BAL,13,86.2
107,Troy Franklin,WR,DEN,12,87
108,Jacob Cowing,WR,SF,8,87.5
109,Anthony Richardson,QB,IND,13,88.1
110,C.J. Stroud,QB,HOU,8,88.8
111,Kyler Murray,QB,ARI,14,89.2
112,Caleb Williams,QB,CHI,5,90
113,Brock Purdy,QB,SF,8,90.5
114,Jordan Love,QB,GB,11,91.1
115,Dak Prescott,QB,DAL,14,91.8
116,Tua Tagovailoa,QB,MIA,6,92.2
117,Justin Fields,QB,PIT,9,93
118,Kirk Cousins,QB,ATL,11,93.5
119,Baker Mayfield,QB,TB,10,94.1
120,Geno Smith,QB,SEA,11,94.8
121,Matthew Stafford,QB,LAR,11,95.2
122,Aaron Rodgers,QB,NYJ,13,96
123,Russell Wilson,QB,PIT,9,96.5
124,Deshaun Watson,QB,CLE,10,97.1
125,Will Levis,QB,TEN,10,97.8
126,Bryce Young,QB,CAR,5,98.2
127,Derek Carr,QB,NO,8,99
128,Daniel Jones,QB,NYG,8,99.5
129,Gardner Minshew,QB,LV,13,100.1
130,Sam Darnold,QB,MIN,6,100.8
131,Rico Dowdle,RB,DAL,14,101.2
132,Tyjae Spears,RB,TEN,10,102
133,Ray Davis,RB,BUF,7,102.5
134,Braelon Allen,RB,NYJ,13,103.1
135,MarShawn Lloyd,RB,GB,11,103.8
136,Jaylen Wright,RB,MIA,6,104.2
137,Audric Estime,RB,DEN,12,105
138,Kimani Vidal,RB,LAC,7,105.5
139,Will Shipley,RB,PHI,10,106.1
140,Isaac Guerendo,RB,SF,8,106.8
141,Tyrone Tracy Jr.,RB,NYG,8,107.2
142,Rasheen Ali,RB,BAL,13,108
143,Dylan Laube,RB,LV,13,108.5
144,Jawhar Jordan,RB,HOU,8,109.1
145,Keaton Mitchell,RB,BAL,13,109.8
146,Roschon Johnson,RB,CHI,5,110.2
147,Kendre Miller,RB,NO,8,111
148,Miles Sanders,RB,CAR,5,111.5
149,Dameon Pierce,RB,HOU,8,112.1
150,AJ Dillon,RB,GB,11,112.8
151,Tyler Allgeier,RB,ATL,11,113.2
152,Elijah Mitchell,RB,SF,8,114
153,Samaje Perine,RB,DEN,12,114.5
154,Alexander Mattison,RB,LV,13,115.1
155,Justice Hill,RB,BAL,13,115.8
156,Antonio Gibson,RB,NE,11,116.2
157,Kenneth Gainwell,RB,PHI,10,117
158,Clyde Edwards-Helaire,RB,KC,5,117.5
159,Ezekiel Elliott,RB,DAL,14,118.1
160,Cam Akers,RB,HOU,8,118.8
161,Dalvin Cook,RB,DAL,14,119.2
162,Jeff Wilson Jr.,RB,MIA,6,120
163,Pierre Strong Jr.,RB,CLE,10,120.5
164,Evan Engram,TE,JAX,12,121.1
165,Jake Ferguson,TE,DAL,14,121.8
166,Dallas Goedert,TE,PHI,10,122.2
167,David Njoku,TE,CLE,10,123
168,Dalton Kincaid,TE,BUF,7,123.5
169,TJ Hockenson,TE,MIN,6,124.1
170,Kyle Pitts,TE,ATL,11,124.8
171,Pat Freiermuth,TE,PIT,9,125.2
172,Cole Kmet,TE,CHI,5,126
173,Luke Musgrave,TE,GB,11,126.5
174,Hunter Henry,TE,NE,11,127.1
175,Tyler Conklin,TE,NYJ,13,127.8
176,Noah Fant,TE,SEA,11,128.2
177,Jonnu Smith,TE,MIA,6,129
178,Cade Otton,TE,TB,10,129.5
179,Isaiah Likely,TE,BAL,13,130.1
180,Juwan Johnson,TE,NO,8,130.8
181,San Francisco 49ers,DST,SF,8,131.2
182,Baltimore Ravens,DST,BAL,13,132
183,Dallas Cowboys,DST,DAL,14,132.5
184,Buffalo Bills,DST,BUF,7,133.1
185,Cleveland Browns,DST,CLE,10,133.8
