Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
1,Jonathan Taylor*,IND,RB,26,17,17,0,0,0,0,0,323,1585,4.91,18,55,46,378,8.22,2,2,1,20,1,,316,362.3,369.3,339.3,158,1,1,TaylJo02
2,Christian McCaffrey*+,SFO,RB,29,17,17,0,1,0,0,0,311,1202,3.86,10,129,102,924,9.06,7,2,0,17,,,315,416.6,422.6,365.6,157,2,2,McCaCh01
3,Bijan Robinson*+,ATL,RB,23,17,17,0,0,0,0,0,287,1478,5.15,7,103,79,820,10.38,4,4,3,11,1,,292,370.8,379.8,331.3,135,3,3,RobiBi01
4,Jahmyr Gibbs*,DET,RB,23,17,17,0,0,0,0,0,243,1223,5.03,13,94,77,616,8.00,5,2,1,18,,,290,366.9,373.9,328.4,133,4,4,GibbJa01
5,Puka Nacua*+,LAR,WR,24,16,15,0,0,0,0,0,10,105,10.50,1,166,129,1715,13.29,10,1,1,11,,,246,375.0,382.0,310.5,121,1,5,NacuPu00
6,Jaxon Smith-Njigba*+,SEA,WR,23,17,17,0,0,0,0,0,7,36,5.14,0,163,119,1793,15.07,10,3,1,10,,,241,359.9,363.9,300.4,116,2,6,SmitJa06
7,James Cook*,BUF,RB,26,17,17,0,0,0,0,0,309,1621,5.25,12,40,33,291,8.82,2,6,3,14,,,269,302.2,311.2,285.7,114,5,7,CookJa01
8,Derrick Henry,BAL,RB,31,17,17,0,1,0,0,0,307,1595,5.20,16,21,15,150,10.00,0,4,3,16,,,265,279.5,288.5,272.0,109,6,8,HenrDe00
9,De'Von Achane*,MIA,RB,24,16,16,0,0,0,0,0,238,1350,5.67,8,85,67,488,7.28,4,1,0,12,,,256,322.8,328.8,289.3,101,7,9,AchaDe00
10,Josh Allen*,BUF,QB,29,17,17,319,460,3668,25,10,112,579,5.17,14,0,0,0,,0,7,3,14,,1,365,364.6,383.6,374.6,87,1,10,AlleJo02
11,Amon-Ra St. Brown*,DET,WR,26,17,17,0,0,0,0,0,3,9,3.00,0,172,117,1401,11.97,11,1,0,11,,,207,324.0,327.0,265.5,84,3,11,StxxAm00
12,Trey McBride*+,ARI,TE,26,17,17,0,0,0,0,0,0,0,,0,169,126,1239,9.83,11,0,0,11,,,190,315.9,318.9,252.9,82,1,12,McBrTr01
13,George Pickens*,DAL,WR,24,17,15,0,0,0,0,0,0,0,,0,137,93,1429,15.37,9,4,0,9,1,,199,291.9,294.9,245.4,77,4,13,PickGe00
14,Drake Maye*,NWE,QB,23,17,17,354,492,4394,31,8,103,450,4.37,4,1,1,2,2.00,0,8,3,4,1,1,351,352.0,369.0,359.5,74,2,14,MayeDr00
15,Matthew Stafford*+,LAR,QB,37,17,17,388,597,4707,46,8,29,1,0.03,0,0,0,0,,0,7,3,0,,,350,350.4,364.4,358.4,74,3,15,StafMa00
16,Kyren Williams,LAR,RB,25,17,17,0,0,0,0,0,259,1252,4.83,10,50,36,281,7.81,3,2,2,13,,,227,263.3,271.3,245.3,74,8,16,WillKy02
17,Ja'Marr Chase*+,CIN,WR,25,16,16,0,0,0,0,0,3,14,4.67,0,185,125,1412,11.30,8,1,1,8,,,189,313.6,317.6,251.1,67,5,17,ChasJa00
18,Travis Etienne,JAX,RB,26,17,16,0,0,0,0,0,260,1107,4.26,7,52,36,292,8.11,6,1,0,13,,,218,253.9,259.9,235.9,66,9,18,EtieTr00
19,Trevor Lawrence,JAX,QB,26,17,17,341,560,4007,29,12,82,359,4.38,9,0,0,0,,0,5,3,9,1,,338,338.2,359.2,350.2,62,4,19,LawrTr00
20,Chase Brown,CIN,RB,25,17,17,0,0,0,0,0,232,1019,4.39,6,88,69,437,6.33,5,2,0,11,1,,214,282.6,288.6,248.1,61,10,20,BrowCh10
21,Javonte Williams,DAL,RB,25,16,16,0,0,0,0,0,252,1201,4.77,11,51,35,137,3.91,2,2,2,13,,,208,242.8,250.8,225.3,56,11,21,WillJa10
22,Josh Jacobs,GNB,RB,27,15,15,0,0,0,0,0,234,929,3.97,13,44,36,282,7.83,1,3,2,14,,,201,237.1,245.1,219.1,50,12,22,JacoJo01
23,Chris Olave,NOR,WR,25,16,16,0,1,0,0,1,1,-3,-3.00,0,156,100,1163,11.63,9,0,0,9,,,168,268.0,272.0,219.0,48,6,23,OlavCh00
24,D'Andre Swift,CHI,RB,26,16,16,0,0,0,0,0,223,1087,4.87,9,48,34,299,8.79,1,2,2,10,,,195,228.6,236.6,211.6,44,14,24,SwifDA00
25,Saquon Barkley,PHI,RB,28,16,16,0,0,0,0,0,280,1140,4.07,7,50,37,273,7.38,2,1,1,9,1,,195,232.3,239.3,213.8,44,13,25,BarkSa00
26,Davante Adams,LAR,WR,33,14,14,0,0,0,0,0,0,0,,0,114,60,789,13.15,14,0,0,14,,,163,222.9,225.9,192.9,43,7,26,AdamDa01
27,Caleb Williams,CHI,QB,24,17,17,330,568,3942,27,7,77,388,5.04,3,2,2,22,11.00,1,9,1,4,,1,317,318.7,332.7,324.7,42,5,27,WillCa03
28,Dak Prescott*,DAL,QB,32,17,17,404,600,4552,30,10,53,177,3.34,2,0,0,0,,0,6,2,2,,3,314,313.8,331.8,323.8,39,6,28,PresDa01
29,Ashton Jeanty,LVR,RB,22,17,17,0,0,0,0,0,266,975,3.67,5,73,55,346,6.29,5,2,1,10,,,190,245.1,252.1,217.6,39,15,29,JeanAs00
30,Zay Flowers*,BAL,WR,25,17,17,0,0,0,0,0,10,62,6.20,1,118,86,1211,14.08,5,3,3,6,,,157,243.3,249.3,200.3,37,8,30,FlowZa00
31,Nico Collins*,HOU,WR,26,15,15,0,0,0,0,0,2,15,7.50,1,120,71,1117,15.73,6,1,1,7,1,,155,226.2,230.2,190.7,35,9,31,CollNi00
32,Jameson Williams,DET,WR,24,17,15,0,0,0,0,0,6,12,2.00,0,102,65,1117,17.18,7,0,0,7,,,155,219.9,222.9,187.4,35,10,32,WillJa11
33,Tee Higgins*,CIN,WR,26,15,14,0,0,0,0,0,0,0,,0,98,59,846,14.34,11,0,0,11,1,,153,211.6,214.6,182.1,33,11,33,HiggTe00
34,Bo Nix,DEN,QB,25,17,17,388,612,3931,25,11,83,356,4.29,5,1,0,0,,0,4,2,5,,4,305,304.8,323.8,315.8,31,7,34,NixxBo00
